region,population,sex,age,education,income,statusquo,vote,logincome,logpop,sex_M,region_M,region_N,region_S,region_SA,education_PS,education_S
N,175000,M,65.0,P,35000.0,1.0082,Y,10.46310334047155,12.072541252905651,True,False,True,False,False,False,False
N,175000,M,29.0,PS,7500.0,-1.29617,N,8.922658299524402,12.072541252905651,True,False,True,False,False,True,False
N,175000,F,38.0,P,15000.0,1.23072,Y,9.615805480084347,12.072541252905651,False,False,True,False,False,False,False
N,175000,F,49.0,P,35000.0,-1.03163,N,10.46310334047155,12.072541252905651,False,False,True,False,False,False,False
N,175000,F,23.0,S,35000.0,-1.10496,N,10.46310334047155,12.072541252905651,False,False,True,False,False,False,True
N,175000,F,28.0,P,7500.0,-1.04685,N,8.922658299524402,12.072541252905651,False,False,True,False,False,False,False
N,175000,M,26.0,PS,35000.0,-0.78626,N,10.46310334047155,12.072541252905651,True,False,True,False,False,True,False
N,175000,F,24.0,S,15000.0,-1.11348,N,9.615805480084347,12.072541252905651,False,False,True,False,False,False,True
N,175000,F,41.0,P,15000.0,-1.01292,U,9.615805480084347,12.072541252905651,False,False,True,False,False,False,False
N,175000,M,41.0,P,15000.0,-1.29617,N,9.615805480084347,12.072541252905651,True,False,True,False,False,False,False
N,175000,M,64.0,P,15000.0,1.36566,Y,9.615805480084347,12.072541252905651,True,False,True,False,False,False,False
N,175000,M,19.0,S,35000.0,1.02791,U,10.46310334047155,12.072541252905651,True,False,True,False,False,False,True
N,175000,F,46.0,S,75000.0,1.50684,Y,11.225243392518447,12.072541252905651,False,False,True,False,False,False,True
N,175000,M,22.0,S,15000.0,-1.14189,A,9.615805480084347,12.072541252905651,True,False,True,False,False,False,True
N,175000,F,20.0,PS,15000.0,-0.85579,N,9.615805480084347,12.072541252905651,False,False,True,False,False,True,False
N,175000,M,30.0,S,35000.0,-0.90689,U,10.46310334047155,12.072541252905651,True,False,True,False,False,False,True
N,175000,M,67.0,P,75000.0,1.32279,Y,11.225243392518447,12.072541252905651,True,False,True,False,False,False,False
N,175000,F,50.0,S,2500.0,-1.05805,U,7.824046010856292,12.072541252905651,False,False,True,False,False,False,True
N,175000,F,38.0,S,35000.0,1.38534,Y,10.46310334047155,12.072541252905651,False,False,True,False,False,False,True
N,175000,F,55.0,PS,35000.0,1.45602,Y,10.46310334047155,12.072541252905651,False,False,True,False,False,True,False
N,175000,M,18.0,S,75000.0,1.54808,Y,11.225243392518447,12.072541252905651,True,False,True,False,False,False,True
N,175000,F,24.0,PS,35000.0,1.61471,Y,10.46310334047155,12.072541252905651,False,False,True,False,False,True,False
N,175000,M,58.0,P,35000.0,1.52601,Y,10.46310334047155,12.072541252905651,True,False,True,False,False,False,False
N,175000,F,28.0,S,35000.0,0.55328,U,10.46310334047155,12.072541252905651,False,False,True,False,False,False,True
N,175000,F,34.0,P,7500.0,1.33619,A,8.922658299524402,12.072541252905651,False,False,True,False,False,False,False
N,175000,M,20.0,PS,35000.0,-0.89281,N,10.46310334047155,12.072541252905651,True,False,True,False,False,True,False
N,175000,M,53.0,PS,35000.0,-1.29617,A,10.46310334047155,12.072541252905651,True,False,True,False,False,True,False
N,175000,F,32.0,PS,35000.0,1.50986,Y,10.46310334047155,12.072541252905651,False,False,True,False,False,True,False
N,175000,F,37.0,PS,200000.0,0.96525,Y,12.206072645530174,12.072541252905651,False,False,True,False,False,True,False
N,175000,M,36.0,PS,7500.0,0.15489,U,8.922658299524402,12.072541252905651,True,False,True,False,False,True,False
